Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
22,heures,hours
23,vont,will
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,savais,knew
30,étaient,were
31,attention,Warning
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,corps,body
40,yeux,eyes
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,suite,after
56,pardon,sorry
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
68,cause,cause
69,enfin,finally
70,espère,hope
71,eau,water
72,attendez,Wait
74,nouvelle,new
75,boulot,job
76,arrêter,Stop
77,dirait,would say
78,compte,account
79,loin,far
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,filles,girls
87,jouer,to play
88,bureau,office
